parent,parent_internal,child,child_internal
Abstract Lookup Value,FragApplication_AbsLookupValueObject,Cost of Quality,ComplyFramework_CoPQLookupObject
Subject,SysSubjectEntity,Employee,SysEmployeeEntity
Product Abstract,FragApplication_ProductObject,Item,ProductMgmt_ItemObject
Abstract Lookup Value,FragApplication_AbsLookupValueObject,Product Management - Status,ProductMgmt_PMStatusObject
Product Abstract,FragApplication_ProductObject,Provisioned Good/Service,SupplierMgmt_SupplierItemObject
Abstract Lookup Value,FragApplication_AbsLookupValueObject,Revision Type,ProductMgmt_RevisionTypeObject
CAR Abstract,ComplyFramework_CARAbstractObject,SCAR,CAR_SCARObject
Supplier Abstract,SupplierMgmt_SupAbstractObject,Supplier Facility,SupplierMgmt_FacilityObject
Provisioned Good/Service,SupplierMgmt_SupplierItemObject,Supplier Item Level N,SupplierMgmt_SupItemLevelNObject
Abstract Lookup Value,FragApplication_AbsLookupValueObject,Supplier Item Status,ProductMgmt_SupplItemStatusObject
Supplier Abstract,SupplierMgmt_SupAbstractObject,Supplier Parent Company,SupplierMgmt_ParentCompnyObject
