source_object,source_internal_name,declaring_field,field_stable_metadata_id,target_object,target_internal_name,target_kind,cardinality,required,reverse_property,relation_type_code,relation_name,junction_object,canonical,inverse_field_graph_node_id,evidence,classification
Documentation Requirement,SupplierMgmt_DocRequirementObject,Approver,800d45d9-a60b-49b1-89c4-4bdc8530c9da,Employee,SysEmployeeEntity,Record Object,0..* to 0..1,False,,2,cusSupplierMgmt_DocRequirement_fk_ApproverID,,True,,/GraphData/Items/60; Type edge in graph relation,Inferred (foreign-key start; lower bound extracted)
Certification Requirement,SupplierMgmt_CertRequirementObject,Approver,80db732f-e637-417f-a94f-c5e20bc89ae5,Employee,SysEmployeeEntity,Record Object,0..* to 0..1,False,,2,cusSupplierMgmt_CertRequirement_fk_ApproverID,,True,,/GraphData/Items/146/GraphData/Items/37; Type edge in graph relation,Inferred (foreign-key start; lower bound extracted)
Certification Requirement,SupplierMgmt_CertRequirementObject,AssignedTo,b0b2d91c-9bbb-445b-8b15-47eb3538fd43,Supplier Contact,SupplierMgmt_SupplierContactObject,Record Object,0..* to 0..1,False,,2,cusSupplierMgmt_CertRequirement_fk_AssignedToID,,True,,/GraphData/Items/146/GraphData/Items/28; Type edge in graph relation,Inferred (foreign-key start; lower bound extracted)
CAR Abstract,ComplyFramework_CARAbstractObject,Assignee,276f5dc2-905e-4416-ac46-e22e51ddcdc1,Employee,SysEmployeeEntity,Record Object,0..* to 1..1,True,,2,cusComplyFramework_CARAbstract_fk_AssigneeId,,True,,/GraphData/Items/536/GraphData/Items/19; Type edge in graph relation,Inferred (foreign-key start; lower bound extracted)
Attribute Value,ProductMgmt_AttributeValueObject,Attribute,a71a81f3-4fe4-46d8-ae9a-e65604933628,Attribute,ProductMgmt_AttributeObject,Record Object,0..* to 0..1,False,,2,cusProductMgmt_AttributeValue_fk_AttributeID,,True,,/GraphData/Items/629; Type edge in graph relation,Inferred (foreign-key start; lower bound extracted)
Item Revision,ProductMgmt_ItemRevisionObject,AttributeValues,ee570b51-f3c3-46ef-b901-8cc22a2503e7,Attribute Value,ProductMgmt_AttributeValueObject,Record Object,Unresolved,False,ItemRevision,2,cusProductMgmt_AttributeValue_fk_ItemRevisionID,,True,,/GraphData/Items/168; Type edge in graph relation,Unresolved cardinality: inverse field is not exported
Certification Requirement,SupplierMgmt_CertRequirementObject,AuditHistories,36e32082-b0cd-4193-b08a-560941bc4e75,Audit History,SupplierMgmt_AuditHistoryObject,Record Object,0..1 to 0..*,False,CertReq,2,cusSupplierMgmt_AuditHistory_fk_CertReqID,,True,2930,/GraphData/Items/583; Type edge in graph relation,Inferred (foreign-key reverse collection; lower bound from inverse)
Abstract Lookup Value,FragApplication_AbsLookupValueObject,BGColor,a56a641e-d5d3-4753-8f3c-3915dc35714a,Color,FragApplication_ColorObject,Record Object,0..* to 0..1,False,,2,cusFragApplication_AbsLookupValue_fk_BGColorID,,True,,/GraphData/Items/661; Type edge in graph relation,Inferred (foreign-key start; lower bound extracted)
Provisioned Good/Service,SupplierMgmt_SupplierItemObject,Category,63d98207-943f-4bb5-8014-9a656b1d9a11,Good/Service Category,SupplierMgmt_ItemCategoryObject,Record Object,0..* to 0..1,False,,2,cusSupplierMgmt_SupplierItem_fk_CategoryID,,True,,/GraphData/Items/277; Type edge in graph relation,Inferred (foreign-key start; lower bound extracted)
Item,ProductMgmt_ItemObject,Category,01af26f3-b217-4141-a2c9-ec1e54445df2,Good/Service Category,SupplierMgmt_ItemCategoryObject,Record Object,0..* to 1..1,True,PMItems,2,cusProductMgmt_Item_fk_CategoryID,,True,,/GraphData/Items/436; Type edge in graph relation,Inferred (foreign-key start; lower bound extracted)
Supplier Item,ProductMgmt_SupplierItemObject,Category,26a59d4a-e9fc-47a4-870f-ebf4fd19d834,Good/Service Category,SupplierMgmt_ItemCategoryObject,Record Object,0..* to 0..1,False,,2,cusProductMgmt_SupplierItem_fk_CategoryID,,True,,/GraphData/Items/644; Type edge in graph relation,Inferred (foreign-key start; lower bound extracted)
Good/Service,SupplierMgmt_ItemObject,Category,36c6351c-86d9-4de6-8cf9-030f52829e33,Good/Service Category,SupplierMgmt_ItemCategoryObject,Record Object,0..* to 1..1,True,Items,2,cusSupplierMgmt_Item_fk_CategoryID,,True,,/GraphData/Items/672; Type edge in graph relation,Inferred (foreign-key start; lower bound extracted)
Certification,SupplierMgmt_CertLibraryObject,CertCategory,85c73f9c-5d40-4b5c-bb47-f0b536c41d58,Certification Category,SupplierMgmt_CertCategoryObject,Record Object,0..1 to 0..*,False,Certificates,,,,False,2862,/GraphData/Items/658; Type edge in graph relation,Inferred from extracted inverse foreign-key field
Certification Requirement,SupplierMgmt_CertRequirementObject,Certificate,30a1bdc7-277a-4130-9783-7987f3cda42b,Certification,SupplierMgmt_CertLibraryObject,Record Object,0..* to 1..1,True,CertReqs,2,cusSupplierMgmt_CertRequirement_fk_CertificateID,,True,,/GraphData/Items/87; Type edge in graph relation,Inferred (foreign-key start; lower bound extracted)
Certification Category,SupplierMgmt_CertCategoryObject,Certificates,9c841a27-5aa6-4f47-880c-4609f1d8f2e8,Certification,SupplierMgmt_CertLibraryObject,Record Object,0..1 to 0..*,False,CertCategory,2,cusSupplierMgmt_CertLibrary_fk_CertCategoryID,,True,3004,/GraphData/Items/603; Type edge in graph relation,Inferred (foreign-key reverse collection; lower bound from inverse)
Facility Profile,SupplierMgmt_FacProfileObject,Certifications,c8b4eae7-093e-4556-9190-8237daf10ba4,Certification,SupplierMgmt_CertLibraryObject,Record Object,0..* to 0..*,False,FacProfiles,,,,False,486,/GraphData/Items/298; Type edge in graph relation,Inferred from extracted inverse m:n field
Audit History,SupplierMgmt_AuditHistoryObject,CertReq,d633bda2-a4e0-4e74-89f0-1e9c413cb29c,Certification Requirement,SupplierMgmt_CertRequirementObject,Record Object,0..1 to 0..*,False,AuditHistories,,,,False,2810,/GraphData/Items/631; Type edge in graph relation,Inferred from extracted inverse foreign-key field
Supplier Abstract,SupplierMgmt_SupAbstractObject,CertReqs,f9635ea5-f934-4770-a678-b20a58ab83b1,Certification Requirement,SupplierMgmt_CertRequirementObject,Record Object,1..1 to 0..*,False,SupplierAbs,2,cusSupplierMgmt_CertRequirement_fk_SupplierAbsID,,True,710,/GraphData/Items/229; Type edge in graph relation,Inferred (foreign-key reverse collection; lower bound from inverse)
Certification,SupplierMgmt_CertLibraryObject,CertReqs,22d39a3c-e319-4af8-b99e-937ed9c289a0,Certification Requirement,SupplierMgmt_CertRequirementObject,Record Object,1..1 to 0..*,False,Certificate,,,,False,471,/GraphData/Items/654; Type edge in graph relation,Inferred from extracted inverse foreign-key field
Supplier Item Revision,ProductMgmt_SupItemRevisionObject,Comments,6d198078-e669-4abe-84a6-7480533754ce,Approval Comments,ProductMgmt_ApprovaCommentsObject,Record Object,Unresolved,False,SupItemRevision,2,cusProductMgmt_ApprovaComments_fk_SupItemRevisionID,,True,,/GraphData/Items/388; Type edge in graph relation,Unresolved cardinality: inverse field is not exported
Supplier Item Revision,ProductMgmt_SupItemRevisionObject,CommentsAdd,26c00999-89ba-4d15-9590-f97734dfc7cd,Approval Comments,ProductMgmt_ApprovaCommentsObject,Record Object,0..* to 0..1,False,SuppRevisionAdd,2,cusProductMgmt_SupItemRevision_fk_CommentsAddID,,True,,/GraphData/Items/330; Type edge in graph relation,Inferred (foreign-key start; lower bound extracted)
Public Profile,SupplierMgmt_PublicProfileObject,Components,db4949c3-bfd3-466b-8154-c29c1804d66a,Component,SupplierMgmt_ComponentObject,Record Object,0..1 to 0..*,False,PublicProfile,,,,False,579,/GraphData/Items/181; Type edge in graph relation,Inferred from extracted inverse foreign-key field
Provisioned Good/Service,SupplierMgmt_SupplierItemObject,Components,b1438c01-f8af-45bf-bccf-b8f709cba1af,Component,SupplierMgmt_ComponentObject,Record Object,0..1 to 0..*,False,SupItem,,,,False,551,/GraphData/Items/237; Type edge in graph relation,Inferred from extracted inverse foreign-key field
